Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Sam Hentges,CLE,AAA,24,0,0,6.230773802,3,0,0,0,0,0,,4.1,17,1,3,3,0,2,0,1,1,0,6,18548
Logan Allen,CLE,AAA,24,2,3,7.952053963,12,11,0,0,0,0,,48.2,230,61,43,43,9,29,0,4,5,0,52,18555
Travis Bergen,TOR,AAA,27,2,0,3.6,22,0,0,0,0,0,,20,89,17,8,8,2,14,0,1,0,0,26,18581
Hector Perez,CIN,AAA,25,0,0,8.437497485,8,0,0,0,0,0,,10.2,54,10,10,10,2,11,0,2,2,0,10,18592
Travis Lakins Sr.,BAL,AAA,27,0,0,7.714297012,2,0,0,0,0,0,,2.1,11,2,2,2,1,2,0,0,0,0,1,18600
A.J. Minter,ATL,AAA,27,0,0,0,7,0,0,0,6,0,,7.1,25,0,0,0,0,3,0,0,1,0,10,18655
Jake Woodford,STL,AAA,24,2,3,4.5,7,7,0,0,0,0,,34,152,41,21,17,4,12,0,1,1,0,25,18674
Nick Neidert,MIA,AAA,24,6,3,3.318435471,12,11,1,0,0,0,,59.2,261,59,34,22,6,20,0,6,2,0,42,18699
Cody Poteet,MIA,AAA,26,1,0,3.375,2,2,0,0,0,0,,8,32,6,3,3,1,3,0,0,0,0,12,18769
Dillon Peters,PIT,AAA,28,3,2,3.712500354,13,10,0,0,0,0,,53.1,227,51,23,22,14,19,0,2,2,0,63,18790
Miguel Del Pozo,DET,AAA,28,1,2,2.628318229,33,0,0,0,4,0,,37.2,150,19,11,11,5,15,0,2,5,0,52,18792
Miguel Diaz,SDP,AAA,26,0,2,7.838712089,9,2,0,0,0,1,,10.1,54,14,9,9,3,10,0,0,0,0,14,18815
Pedro Avila,SDP,AAA,24,0,0,4.153846916,12,0,0,0,0,1,,17.1,82,15,9,8,1,14,0,3,1,1,19,18864
Beau Burrows,DET,AAA,24,3,5,5.624999808,20,9,0,0,0,0,,56,250,54,36,35,13,24,0,4,3,0,55,18873
Kyle Keller,PIT,AAA,28,2,0,1.963636704,13,1,0,0,0,1,,18.1,71,13,4,4,2,3,0,1,0,0,31,18890
Matt Moore,PHI,AAA,32,0,2,4.655173179,5,5,0,0,0,0,,19.1,87,20,10,10,5,11,0,1,0,0,22,1890
Zack Burdi,CHW,AAA,26,0,2,6.593022525,27,0,0,0,2,1,,28.2,131,24,24,21,9,17,0,2,6,2,45,19159
Tommy Nance,CHC,AAA,30,1,0,2.347826574,10,0,0,0,0,0,,15.1,57,7,4,4,1,3,0,0,0,1,18,19178
Kirby Snead,TOR,AAA,26,2,0,1.657894737,34,1,0,0,4,2,,38,147,19,11,7,1,14,0,1,0,0,53,19179
Robert Dugger,SEA,AAA,25,3,5,7.377907631,13,12,0,0,0,0,,57.1,258,70,48,47,12,22,0,1,0,0,52,19191
Brandyn Sittinger,ARI,AAA,27,1,1,4.090909091,21,0,0,0,4,1,,22,95,17,10,10,1,14,0,0,0,0,30,19192
Conner Menez,SFG,AAA,26,2,2,5.890908274,22,5,0,0,0,1,,36.2,182,51,28,24,6,24,2,1,3,0,37,19199
Jose Quijada,LAA,AAA,25,3,1,1.534091075,22,0,0,0,1,0,,29.1,116,17,8,5,2,11,0,0,0,0,37,19200
Dakota Hudson,STL,AAA,26,0,0,1.8,1,1,0,0,0,0,,5,20,2,2,1,0,3,0,0,0,0,2,19206
Mitch White,LAD,AAA,26,1,0,2.25,8,5,0,0,0,1,,24,102,22,7,6,1,9,0,0,2,1,28,19225
Caleb Baragar,SFG,AAA,27,2,2,10.79999794,18,1,0,0,0,3,,16.2,92,23,20,20,6,18,0,2,3,0,17,19231
Wes Benjamin,TEX,AAA,27,2,5,8.423998972,12,10,0,0,0,0,,41.2,211,65,46,39,6,21,0,0,3,0,35,19243
Miguel Aguilar,ARI,AAA,29,3,4,4.422413211,41,0,0,0,16,1,,38.2,172,42,24,19,5,16,0,0,0,1,45,19246
Seranthony Dominguez,PHI,AAA,26,0,1,13.49999356,8,0,0,0,0,1,,6.2,39,10,13,10,1,4,0,2,1,0,9,19249
Gerson Bautista,SFG,AAA,26,1,3,9,9,0,0,0,0,2,,11,58,10,12,11,2,15,1,0,0,1,10,19256
Ian Hamilton,MIN,AAA,26,4,3,4.024844339,35,3,0,0,4,1,,53.2,234,40,28,24,4,36,0,2,12,0,75,19261
Thomas Hatch,TOR,AAA,26,2,5,3.774193548,14,13,0,0,0,0,,62,261,56,30,26,10,17,0,7,2,0,66,19264
Taylor Widener,ARI,AAA,26,0,0,3.85714023,1,1,0,0,0,0,,4.2,18,3,2,2,2,1,0,0,0,0,6,19266
Justin Dunn,SEA,AAA,25,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,19268
T.J. Zeuch,STL,AAA,25,4,3,4.909091094,19,12,0,0,1,0,,84.1,367,93,54,46,14,24,0,4,6,0,66,19269
Jacob Webb,ATL,AAA,27,1,2,3,24,0,0,0,6,1,,24,99,17,9,8,2,7,0,1,2,0,34,19274
Edgar Garcia,CIN,AAA,24,4,1,3.162162162,34,0,0,0,2,0,,37,158,26,13,13,1,24,0,4,9,0,42,19276
Jesus Reyes,NYM,AAA,28,4,9,5.577844566,22,19,0,0,0,1,,111.1,499,124,73,69,18,54,0,8,2,1,97,19277
Vladimir Gutierrez,CIN,AAA,25,2,0,2.647058824,3,3,0,0,0,0,,17,67,9,5,5,3,7,0,1,0,0,21,19278
Kyle Dowdy,CLE,AAA,28,4,4,4.810344828,37,0,0,0,1,4,,58,262,54,40,31,9,36,2,3,6,0,60,19285
Trevor Richards,TBR,AAA,28,1,0,0,7,0,0,0,0,0,,7.1,26,3,0,0,0,1,0,0,0,0,12,19309
Reggie McClain,NYY,AAA,28,5,2,1.879746654,32,1,0,0,0,0,,52.2,214,36,12,11,1,25,0,3,2,1,56,19311
